Country,Ease of Business,Business Tax Rate,Ease of Business (clusters),Hours to do Tax,Region,Year,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
"Iran, Islamic Rep.",152,0.441,Low,344,Middle East,12/1/2012,0.019,,16,,502729000000,0.067,490,0.015,0.275,0.11,76,72,0.761,0.237,0.711,0.052,76424443,0.718,,
Iraq,155,0.278,Low,312,Middle East,12/1/2012,0.031,,29,,215838000000,0.036,226,0.029,0.071,0.13,73,66,0.816,0.405,0.562,0.033,32578209,0.692,1640000000,2363000000
Ireland,15,0.255,Very Friendly,80,Europe,12/1/2012,0.016,,10,13350,210638000000,0.081,3708,0.003,0.769,,83,79,1.072,0.215,0.667,0.118,4586897,0.624,9064000000,6001000000
Isle of Man,,,Not Clustered,,Europe,12/1/2012,,,,,,,,,,,,,,,,,85284,0.52,,
Israel,33,0.29,Very Friendly,235,Middle East,12/1/2012,0.022,,21,24079,257622000000,0.075,2289,0.003,0.708,0.056,84,80,1.207,0.275,0.619,0.105,7910500,0.919,6225000000,4851000000
Italy,67,0.677,Friendly,269,Europe,12/1/2012,0.009,,6,158616,2013270000000,0.092,3032,0.003,0.558,0.052,86,80,1.597,0.14,0.651,0.208,59539717,0.686,43036000000,32798000000
Jamaica,91,0.443,Friendly,368,The Americas,12/1/2012,0.015,,7,,14794802081,0.059,318,0.015,0.338,0.176,76,71,0.98,0.278,0.643,0.079,2707805,0.541,2070000000,165000000
Japan,23,0.494,Very Friendly,330,Asia,12/1/2012,0.008,,22,451501,5937770000000,0.101,4752,0.002,0.863,0.014,86,80,1.087,0.131,0.625,0.244,127561489,0.919,16197000000,40967000000
Jordan,119,0.281,Moderate,151,Middle East,12/1/2012,0.028,,12,,31015239496,0.098,388,0.017,0.41,0.088,75,72,1.282,0.341,0.624,0.035,6318000,0.83,4485000000,1257000000
Kazakhstan,53,0.286,Friendly,188,Asia,12/1/2012,0.023,,19,,203517000000,0.042,521,0.016,0.533,,74,65,1.858,0.255,0.68,0.066,16791425,0.535,1572000000,2119000000
Kenya,122,0.442,Moderate,340,Africa,12/1/2012,0.036,,32,,40264403585,0.047,45,0.049,0.321,0.197,63,59,0.712,0.424,0.55,0.026,43178141,0.244,2004000000,174000000
Kiribati,117,0.318,Moderate,120,Oceania,12/1/2012,0.023,,31,,174984469,0.107,187,0.046,0.107,,71,66,0.159,0.324,0.636,0.04,100786,0.439,,
"Korea, Dem. Rep.",,,Not Clustered,,Asia,12/1/2012,0.014,,,,,,,0.023,,,73,66,0.069,0.22,0.688,0.092,24763188,0.604,,
"Korea, Rep.",6,0.29,Very Friendly,207,Asia,12/1/2012,0.01,,6,263002,1222810000000,0.075,1703,0.003,0.841,0.054,85,78,1.094,0.153,0.729,0.118,50004441,0.821,19653000000,22386000000
Kosovo,96,0.154,Friendly,164,Europe,12/1/2012,0.018,,52,,6445460830,,,,,0.129,73,68,,,,,1807106,,,
Kuwait,101,0.124,Moderate,98,Middle East,12/1/2012,0.021,,32,,183219000000,0.025,1428,0.009,0.705,0.05,75,73,1.569,0.249,0.729,0.022,3250496,0.983,780000000,9821000000
Kyrgyz Republic,70,0.334,Friendly,210,Asia,12/1/2012,0.028,,10,,6605133551,0.071,84,0.023,0.217,0.128,74,66,1.242,0.302,0.656,0.042,5607200,0.354,750000000,738000000
Lao PDR,163,0.319,Low,362,Asia,12/1/2012,0.027,,92,,9386913253,0.029,40,0.055,0.107,,69,66,0.647,0.356,0.606,0.038,6645827,0.354,461000000,241000000
Latvia,24,0.359,Very Friendly,264,Europe,12/1/2012,0.01,,16,,28372577697,0.06,792,0.008,0.731,0.055,79,69,1.121,0.146,0.669,0.185,2034319,0.675,1068000000,863000000
Lebanon,105,0.302,Moderate,180,Middle East,12/1/2012,0.013,,9,,43205095854,0.076,675,0.008,0.612,0.072,82,78,0.808,0.216,0.698,0.086,4424888,0.874,6298000000,4125000000
Lesotho,139,0.16,Moderate,324,Africa,12/1/2012,0.028,,29,,2328196275,0.116,138,0.074,0.046,0.101,49,49,0.753,0.368,0.591,0.042,2051545,0.258,46000000,256000000
Liberia,149,0.266,Low,158,Africa,12/1/2012,0.036,,6,,1733828405,0.155,65,0.056,0.038,0.135,61,59,0.571,0.431,0.539,0.03,4190435,0.485,,
Libya,188,0.316,Low,889,Africa,12/1/2012,0.021,,35,,81873662519,0.039,578,0.013,,0.06,77,73,1.558,0.295,0.658,0.047,6154623,0.78,,2654000000
Liechtenstein,,,Not Clustered,,Europe,12/1/2012,0.01,,,,,,,,0.894,,85,80,0.974,,,,36656,0.144,,
Lithuania,25,0.43,Very Friendly,175,Europe,12/1/2012,0.01,,20,,42343559196,0.067,859,0.005,0.672,,80,68,1.651,0.151,0.693,0.156,2987773,0.666,1430000000,1058000000
Luxembourg,56,0.2,Friendly,59,Europe,12/1/2012,0.011,,19,4080,55143457330,0.069,7452,0.002,0.919,,84,79,1.454,0.175,0.685,0.141,530946,0.892,4613000000,3582000000
"Macao SAR, China",,,Not Clustered,,Asia,12/1/2012,0.01,,,,42981497744,,,,0.613,0.053,82,78,2.898,0.122,0.8,0.077,556783,1,44455000000,1711000000
"Macedonia, FYR",36,0.082,Very Friendly,119,Europe,12/1/2012,0.011,,2,,9576482628,0.071,327,0.007,0.574,0.085,77,73,1.062,0.169,0.711,0.12,2105575,0.57,237000000,153000000
Madagascar,144,0.364,Moderate,201,Africa,12/1/2012,0.035,,8,,9880703883,0.041,18,0.041,0.021,0.6,66,63,0.394,0.427,0.545,0.028,22293914,0.332,,
